linux,#fff,1991.8.1,""
MCC Interim,#696a48,1992.2,linux
TAMU,#3a34bc,1992.5,linux
SLS,#9c8ac4,1992.6,linux
Yggdrasil,#668f53,1992.12.8,linux
DLD,#9e9e9e,1993,linux
Slackware,#000,1993.7.16,SLS
Debian,#bf1238,1993.8.16,linux
LST,#4e8969,1993.12,linux
Bogus,#8ecab5,1994.1,linux
S.u.S.E,#438643,1994.3,Slackware
Red Hat,#cc0000,1994.11.3,linux
Linux-FT,#ff0031,1995.1,linux
Xdenu,#613980,1995,linux
WGS Linux Pro,#ff5f00,1995,Red Hat
Mini,#55b7f4,1995.2,linux
MNIS,#516b9e,1995.2.1,Slackware
Jurix,#9f9f9f,1995.2.8,linux
Trans-Ameritech,#ff1600,1995.3,linux
Unifix,#334466,1995.6,linux
Linux Universe,#000,1995.10,linux
Craftworks,#ff6cc4,1996,linux
Caldera,#5ea3db,1996.2,Red Hat
DILINUX,#ff5f00,1996.4,linux
mkLinux,#35332d,1996.5.17,linux
Monkey,#8b3706,1996.10,linux
LinuxPPC,#4cc931,1997.4,Red Hat
Burapha,#77f7ff,1997.6,Slackware
UltraPenguin,#000,1997.7,Red Hat
Weaver,#ff9600,1997.9,linux
Conectiva,#4c3065,1997.10,Red Hat
Stampede,#866846,1997.12.4,Slackware
Buhawi,#99ccff,1997.12.21,Red Hat
Eurielec,#040404,1998,Red Hat
PLD,#3f89d0,1998,Red Hat
µClinux,#4b78ff,1998.1,linux
Turbolinux,#8c99ce,1998.6,Red Hat
Mandrake,#3f48c9,1998.7.23,Red Hat
ROCK,#77781b,1998.8,linux
Fermi,#00309e,1998.8.31,Red Hat
Demolinux,#3333ff,1998.9,Mandrake
Project Ballantin,#000,1998.11,linux
tomsrtbt,#000,1998.11.6,linux
Coyote,#282896,1998.12,linux
KRUD,#00adfb,1999,Red Hat
e-smith,#d38b8e,1999.1,Red Hat
eIT easyLinux,#189069,1999.2.10,linux
Eridani,#2625a4,1999.3,Red Hat
ELinOS,#0d3b69,1999.3,linux
Yellow Dog,#baba4c,1999.3.8,Red Hat
Vine,#323296,1999.3.28,Red Hat
FREESCO,#5588bb,1999.5.17,Project Ballantin
Red Flag,#e34043,1999.8,Red Hat
Corel,#ecba5b,1999.9,Debian
Armed,#d73ce2,1999.9.5,Red Hat
Immunix,#bbd295,1999.10,Red Hat
Libranet,#0169c9,1999.11.9,Debian
Kondara,#5d0202,1999.11.11,Red Hat
Enoch,#a0a0f0,1999.12,linux
